Plant-level output
Created by GroIMP
time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	accumulated PAR(mol)	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	Nsource(mg)	Total N uptake(mg)	Root length(m)	Plant height	Nphoto(mg)	Nstem(mg)	Ngrain(mg)	Nroots(mg)
1.0	0.15170210806444473	69.0	1.0	7.0	9.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	70.0	1.0	7.0	10.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	71.0	1.0	8.0	1.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	72.0	1.0	8.0	2.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	73.0	1.0	8.0	3.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	74.0	1.0	8.0	4.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	75.0	1.0	8.0	5.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	76.0	1.0	8.0	6.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	77.0	1.0	8.0	7.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	78.0	1.0	8.0	8.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	79.0	1.0	8.0	9.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	80.0	1.0	8.0	10.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.15170210806444473	81.0	1.0	9.0	1.0	9.0	0.0	0.15170210806444473	1.0	0.0	0.0	0.0	0.0	1.2	275.0	0.0	0.0	0.0	0.0	NaN	0.0	1.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
